Chg, spotDist, metRelChg, volChg, target
185, 18, 190, 158, BUY
123, 26, 145, 163, BUY
122, 27, 143, 63, BUY
124, 27, 124, 88, BUY
95, 28, 92, 68, BUY
143, 25, 130, 225, BUY
97, 28, 117, 39, BUY
104, 25, 75, 116, BUY
117, 24, 89, 93, BUY
121, 23, 122, 111, BUY
67, 24, 53, 30, BUY
109, 17, 113, 129, BUY
110, 16, 158, 117, BUY
123, 15, 152, 92, BUY
221, 15, 225, 8, BUY
82, 28, 93, 210, BUY
122, 24, 110, 243, BUY
152, 24, 149, 40, BUY
159, 28, 125, 120, BUY
83, 33, 84, 46, BUY
94, 29, 91, 255, BUY
146, 26, 130, 52, BUY
101, 30, 106, 60, BUY
118, 27, 147, 147, BUY
105, 27, 136, 147, BUY
90, 97, 90, 134, BUY
158, 94, 141, 28, BUY
201, 99, 170, 113, BUY
107, 107, 111, 87, BUY
63, 106, 111, 139, BUY
67, 100, 90, 53, BUY
124, 95, 132, 199, BUY
139, 95, 119, 113, BUY
112, 97, 119, 56, BUY
110, 97, 118, 66, BUY
97, 96, 131, 58, BUY
73, 93, 83, 29, BUY
120, 89, 106, 207, BUY
27, 89, 62, 15, BUY
193, 79, 165, 192, BUY
110, 87, 112, 187, BUY
81, 86, 45, 51, BUY
90, 82, 82, 79, BUY
59, 79, 85, 67, BUY
8, 72, 64, 36, BUY
67, 59, 138, 125, BUY
94, 52, 120, 162, BUY
71, 50, 53, 56, BUY
0, 44, 29, 51, BUY
105, 28, 120, 132, BUY
250, 27, 255, 47, BUY
255, 43, 218, 90, BUY
144, 59, 139, 198, BUY
128, 62, 135, 110, BUY
87, 63, 118, 85, BUY
67, 60, 120, 77, BUY
34, 53, 74, 73, BUY
174, 43, 158, 62, BUY
51, 50, 37, 86, BUY
222, 41, 140, 73, BUY
171, 54, 86, 183, BUY
69, 60, 112, 82, BUY
146, 54, 152, 152, BUY
87, 57, 91, 46, BUY
106, 54, 150, 105, BUY
136, 52, 115, 122, BUY
114, 54, 83, 122, BUY
8, 72, 64, 36, BUY
67, 59, 138, 125, BUY
94, 52, 120, 162, BUY
71, 50, 53, 56, BUY
0, 44, 29, 51, BUY
105, 28, 120, 132, BUY
250, 27, 255, 47, BUY
255, 43, 218, 90, BUY
144, 59, 139, 198, BUY
128, 62, 135, 110, BUY
87, 63, 118, 85, BUY
67, 60, 120, 77, BUY
34, 53, 74, 73, BUY
174, 43, 158, 62, BUY
51, 50, 37, 86, BUY
222, 41, 140, 73, BUY
171, 54, 86, 183, BUY
69, 60, 112, 82, BUY
146, 54, 152, 152, BUY
87, 57, 91, 46, BUY
106, 54, 150, 105, BUY
136, 52, 115, 122, BUY
114, 54, 83, 103, BUY
100, 54, 73, 108, BUY
131, 51, 126, 50, BUY
132, 53, 103, 90, BUY
108, 55, 116, 107, BUY
108, 53, 123, 29, BUY
110, 52, 109, 154, BUY
39, 51, 59, 102, BUY
79, 41, 90, 110, BUY
144, 36, 87, 110, BUY
51, 40, 0, 13, BUY
135, 31, 118, 240, BUY
149, 33, 146, 45, BUY
123, 37, 123, 166, BUY
92, 37, 106, 87, BUY
105, 34, 92, 127, BUY
103, 32, 115, 98, BUY
64, 30, 90, 23, BUY
91, 23, 86, 137, BUY
175, 20, 131, 137, BUY
132, 53, 103, 90, BUY
108, 55, 116, 107, BUY
108, 53, 123, 29, BUY
110, 52, 109, 154, BUY
39, 51, 59, 102, BUY
79, 41, 90, 110, BUY
144, 36, 87, 110, BUY
51, 40, 0, 13, BUY
135, 31, 118, 240, BUY
149, 33, 146, 45, BUY
123, 37, 123, 166, BUY
92, 37, 106, 87, BUY
105, 34, 92, 127, BUY
103, 32, 115, 98, BUY
64, 30, 90, 23, BUY
91, 23, 86, 137, BUY
175, 20, 131, 60, BUY
