Chg, spotDist, metRelChg, volChg, target
134, 17, 179, 0, HOLD
179, 18, 236, 24, HOLD
117, 21, 205, 35, HOLD
126, 21, 212, 2, HOLD
142, 22, 249, 42, HOLD
38, 24, 189, 43, HOLD
29, 22, 137, 37, HOLD
54, 21, 86, 34, HOLD
76, 20, 182, 36, HOLD
73, 19, 119, 23, HOLD
32, 19, 70, 53, HOLD
141, 17, 159, 16, HOLD
114, 18, 214, 51, HOLD
99, 19, 183, 37, HOLD
107, 19, 150, 27, HOLD
61, 20, 145, 32, HOLD
51, 19, 168, 25, HOLD
27, 18, 144, 28, HOLD
78, 16, 181, 56, HOLD
98, 16, 95, 14, HOLD
113, 16, 121, 50, HOLD
101, 16, 138, 38, HOLD
70, 17, 149, 76, HOLD
69, 16, 227, 3, HOLD
103, 16, 124, 3, HOLD
74, 26, 208, 15, HOLD
94, 25, 185, 19, HOLD
114, 25, 155, 56, HOLD
63, 26, 147, 49, HOLD
72, 25, 160, 13, HOLD
36, 25, 165, 27, HOLD
101, 23, 218, 26, HOLD
105, 23, 161, 47, HOLD
80, 24, 253, 32, HOLD
110, 23, 115, 28, HOLD
67, 24, 142, 53, HOLD
108, 23, 139, 29, HOLD
92, 24, 166, 42, HOLD
63, 24, 200, 29, HOLD
48, 23, 255, 14, HOLD
24, 22, 226, 17, HOLD
31, 20, 143, 29, HOLD
60, 18, 110, 54, HOLD
21, 17, 171, 16, HOLD
48, 15, 142, 31, HOLD
47, 14, 69, 93, HOLD
54, 12, 0, 19, HOLD
46, 11, 88, 31, HOLD
81, 10, 165, 63, HOLD
48, 9, 180, 14, HOLD
0, 8, 160, 19, HOLD
52, 5, 220, 42, HOLD
110, 4, 144, 21, HOLD
120, 4, 207, 64, HOLD
255, 5, 203, 3, HOLD
235, 11, 188, 46, HOLD
14, 15, 162, 49, HOLD
76, 13, 148, 58, HOLD
53, 12, 135, 24, HOLD
7, 11, 138, 22, HOLD
167, 9, 227, 23, HOLD
156, 11, 201, 41, HOLD
105, 13, 147, 37, HOLD
64, 14, 118, 46, HOLD
137, 13, 172, 35, HOLD
80, 14, 170, 22, HOLD
54, 14, 149, 22, HOLD
48, 15, 142, 31, HOLD
47, 14, 69, 93, HOLD
54, 12, 0, 19, HOLD
46, 11, 88, 31, HOLD
81, 10, 165, 63, HOLD
48, 9, 180, 14, HOLD
0, 8, 160, 19, HOLD
52, 5, 220, 42, HOLD
110, 4, 144, 21, HOLD
120, 4, 207, 64, HOLD
255, 5, 203, 3, HOLD
235, 11, 188, 46, HOLD
14, 15, 162, 49, HOLD
76, 13, 148, 58, HOLD
53, 12, 135, 24, HOLD
7, 11, 138, 22, HOLD
167, 9, 227, 23, HOLD
156, 11, 201, 41, HOLD
105, 13, 147, 37, HOLD
64, 14, 118, 46, HOLD
137, 13, 172, 35, HOLD
80, 14, 170, 22, HOLD
54, 14, 149, 18, HOLD
79, 13, 153, 54, HOLD
46, 12, 173, 52, HOLD
63, 11, 165, 22, HOLD
152, 10, 138, 28, HOLD
134, 12, 158, 37, HOLD
97, 13, 140, 33, HOLD
113, 14, 182, 18, HOLD
58, 14, 122, 78, HOLD
44, 13, 139, 24, HOLD
110, 12, 175, 50, HOLD
78, 12, 176, 34, HOLD
66, 12, 203, 24, HOLD
86, 11, 162, 22, HOLD
131, 11, 120, 38, HOLD
76, 12, 152, 60, HOLD
178, 12, 116, 3, HOLD
120, 15, 93, 52, HOLD
164, 16, 125, 16, HOLD
133, 18, 54, 43, HOLD
88, 19, 173, 43, HOLD
46, 12, 173, 52, HOLD
63, 11, 165, 22, HOLD
152, 10, 138, 28, HOLD
134, 12, 158, 37, HOLD
97, 13, 140, 33, HOLD
113, 14, 182, 18, HOLD
58, 14, 122, 78, HOLD
44, 13, 139, 24, HOLD
110, 12, 175, 50, HOLD
78, 12, 176, 34, HOLD
66, 12, 203, 24, HOLD
86, 11, 162, 22, HOLD
131, 11, 120, 38, HOLD
76, 12, 152, 60, HOLD
178, 12, 116, 3, HOLD
120, 15, 93, 52, HOLD
164, 16, 125, 16, HOLD
133, 18, 54, 43, HOLD
88, 19, 173, 60, HOLD
83, 19, 221, 31, HOLD
32, 19, 182, 36, HOLD
80, 17, 165, 24, HOLD
73, 17, 135, 33, HOLD
76, 16, 153, 45, HOLD
93, 16, 153, 43, HOLD
104, 16, 153, 22, HOLD
122, 16, 153, 43, HOLD
76, 17, 153, 34, HOLD
35, 17, 153, 22, HOLD
55, 15, 156, 57, HOLD
144, 14, 138, 11, HOLD
112, 16, 154, 54, HOLD
86, 16, 118, 28, HOLD
73, 16, 171, 56, HOLD
85, 16, 173, 29, HOLD
102, 16, 198, 31, HOLD
49, 16, 174, 23, HOLD
120, 15, 156, 29, HOLD
104, 16, 181, 46, HOLD
101, 16, 126, 35, HOLD
79, 16, 113, 37, HOLD
129, 16, 94, 37, HOLD
