Chg, spotDist, metRelChg, volDiff, target
74, 177, 121, 10, HOLD?
71, 122, 131, 7, HOLD?
76, 119, 119, 10, WRITE?
17, 191, 88, 11, HOLD?
65, 223, 89, 11, HOLD?
34, 192, 9, 11, HOLD?
14, 118, 9, 7, WRITE?
22, 204, 26, 11, HOLD?
27, 237, 76, 10, HOLD?
170, 107, 180, 11, WRITE?
170, 53, 180, 11, HOLD?
78, 142, 72, 11, HOLD?
150, 113, 113, 5, WRITE?
0, 34, 89, 12, HOLD?
34, 130, 47, 10, WRITE?
0, 77, 89, 12, WRITE?
86, 106, 79, 5, WRITE?
5, 237, 82, 10, HOLD?
14, 72, 87, 11, HOLD?
9, 75, 99, 13, HOLD?
23, 54, 84, 8, HOLD?
19, 74, 69, 11, WRITE?
12, 106, 88, 10, WRITE?
68, 106, 136, 8, WRITE?
93, 18, 93, 11, HOLD?
34, 45, 47, 10, HOLD?
12, 183, 66, 10, HOLD?
9, 117, 99, 37, WRITE?
19, 128, 69, 11, WRITE?
12, 172, 66, 10, HOLD?
33, 239, 47, 10, HOLD?
71, 101, 131, 12, WRITE?
14, 115, 87, 11, WRITE?
34, 192, 9, 11, HOLD?
93, 82, 93, 11, HOLD?
17, 62, 84, 11, HOLD?
48, 45, 63, 10, HOLD?
34, 245, 9, 11, HOLD?
1, 140, 58, 12, HOLD?
12, 56, 66, 10, HOLD?
34, 33, 9, 11, HOLD?
67, 126, 104, 5, HOLD?
0, 108, 89, 12, WRITE?
137, 103, 111, 11, WRITE?
28, 118, 78, 6, WRITE?
68, 74, 136, 8, WRITE?
9, 128, 99, 13, HOLD?
9, 160, 99, 13, HOLD?
83, 47, 118, 9, HOLD?
78, 46, 72, 11, HOLD?
19, 11, 69, 11, HOLD?
76, 108, 119, 10, WRITE?
65, 85, 89, 11, WRITE?
92, 130, 116, 12, HOLD?
0, 119, 89, 9, WRITE?
4, 19, 66, 11, HOLD?
1, 46, 0, 11, HOLD?
121, 92, 143, 2, WRITE?
80, 130, 110, 9, HOLD?
0, 161, 89, 12, HOLD?
11, 199, 49, 13, HOLD?
4, 61, 66, 11, HOLD?
9, 96, 99, 13, HOLD?
8, 103, 59, 5, WRITE?
11, 82, 49, 13, WRITE?
4, 189, 66, 11, HOLD?
8, 177, 59, 10, HOLD?
9, 213, 99, 13, HOLD?
121, 124, 143, 3, WRITE?
4, 51, 66, 11, HOLD?
57, 160, 42, 6, HOLD?
67, 41, 104, 10, HOLD?
22, 43, 74, 10, HOLD?
76, 87, 119, 10, HOLD?
97, 75, 133, 7, HOLD?
19, 85, 69, 11, WRITE?
33, 112, 47, 10, WRITE?
11, 241, 49, 13, HOLD?
86, 117, 79, 5, WRITE?
1, 193, 58, 12, HOLD?
65, 179, 124, 11, HOLD?
76, 214, 119, 10, HOLD?
16, 29, 53, 8, HOLD?
34, 113, 1, 7, WRITE?
28, 161, 78, 11, HOLD?
54, 108, 87, 11, WRITE?
48, 45, 63, 10, HOLD?
49, 157, 84, 8, HOLD?
17, 19, 84, 11, HOLD?
121, 145, 143, 7, HOLD?
17, 127, 88, 11, WRITE?
23, 160, 84, 8, HOLD?
5, 120, 82, 10, WRITE?
34, 81, 1, 2, WRITE?
34, 43, 9, 11, HOLD?
5, 35, 82, 10, HOLD?
65, 64, 89, 11, HOLD?
67, 41, 104, 10, HOLD?
8, 114, 59, 8, WRITE?
97, 107, 133, 2, WRITE?
83, 164, 118, 9, HOLD?
71, 239, 131, 12, HOLD?
57, 118, 42, 2, WRITE?
137, 220, 111, 11, HOLD?
22, 130, 26, 11, HOLD?
68, 138, 136, 8, HOLD?
33, 133, 47, 10, HOLD?
19, 86, 81, 11, WRITE?
83, 185, 118, 9, HOLD?
0, 55, 89, 12, HOLD?
48, 114, 102, 9, WRITE?
68, 85, 136, 8, WRITE?
34, 64, 9, 11, HOLD?
97, 232, 104, 10, HOLD?
17, 74, 88, 11, HOLD?
137, 210, 111, 11, HOLD?
97, 43, 133, 7, HOLD?
57, 107, 42, 6, WRITE?
1, 225, 58, 12, HOLD?
34, 107, 9, 11, WRITE?
80, 87, 110, 10, WRITE?
32, 157, 102, 8, HOLD?
17, 83, 84, 11, WRITE?
14, 147, 87, 11, HOLD?
93, 93, 93, 6, HOLD?
65, 117, 89, 6, WRITE?
14, 94, 87, 11, WRITE?
49, 157, 84, 8, HOLD?
65, 107, 89, 11, WRITE?
57, 245, 42, 6, HOLD?
49, 72, 84, 8, HOLD?
67, 147, 104, 10, HOLD?
24, 65, 75, 10, HOLD?
14, 129, 9, 8, WRITE?
101, 117, 119, 8, WRITE?
80, 66, 110, 10, HOLD?
150, 81, 113, 5, HOLD?
34, 183, 47, 10, HOLD?
17, 168, 84, 11, HOLD?
83, 15, 118, 9, HOLD?
121, 220, 143, 7, HOLD?
