Chg, spotDist, metRelChg, volChg, target
255, 41, 129, 32, HOLD
96, 43, 125, 55, HOLD
105, 42, 165, 37, HOLD
153, 42, 217, 30, HOLD
88, 42, 121, 27, HOLD
247, 41, 223, 23, HOLD
214, 43, 142, 34, HOLD
50, 44, 142, 65, HOLD
157, 43, 142, 41, HOLD
65, 43, 142, 17, HOLD
65, 42, 142, 48, HOLD
69, 40, 142, 25, HOLD
132, 39, 167, 50, HOLD
185, 38, 121, 27, HOLD
127, 39, 116, 45, HOLD
129, 39, 117, 21, HOLD
109, 39, 146, 45, HOLD
127, 38, 149, 30, HOLD
70, 38, 110, 22, HOLD
40, 37, 118, 32, HOLD
156, 35, 131, 35, HOLD
182, 35, 178, 48, HOLD
200, 36, 160, 22, HOLD
163, 37, 144, 44, HOLD
178, 38, 102, 44, HOLD
153, 42, 217, 30, HOLD
88, 42, 121, 27, HOLD
247, 41, 223, 23, HOLD
214, 43, 142, 34, HOLD
50, 44, 142, 65, HOLD
157, 43, 142, 41, HOLD
65, 43, 142, 17, HOLD
65, 42, 142, 48, HOLD
69, 40, 142, 25, HOLD
132, 39, 167, 50, HOLD
185, 38, 121, 27, HOLD
127, 39, 116, 45, HOLD
129, 39, 117, 21, HOLD
109, 39, 146, 45, HOLD
127, 38, 149, 30, HOLD
70, 38, 110, 22, HOLD
40, 37, 118, 32, HOLD
156, 35, 131, 35, HOLD
182, 35, 178, 48, HOLD
200, 36, 160, 22, HOLD
163, 37, 144, 44, HOLD
178, 38, 102, 20, HOLD
149, 38, 91, 46, HOLD
157, 39, 158, 29, HOLD
132, 39, 162, 32, HOLD
70, 39, 149, 40, HOLD
186, 37, 160, 19, HOLD
80, 38, 178, 48, HOLD
87, 37, 171, 31, HOLD
84, 36, 74, 23, HOLD
210, 35, 158, 38, HOLD
118, 36, 102, 42, HOLD
137, 36, 141, 34, HOLD
112, 36, 154, 36, HOLD
32, 35, 96, 19, HOLD
161, 33, 165, 48, HOLD
127, 33, 144, 30, HOLD
176, 33, 158, 40, HOLD
39, 34, 107, 26, HOLD
117, 32, 105, 35, HOLD
101, 31, 91, 33, HOLD
111, 31, 131, 53, HOLD
53, 30, 86, 53, HOLD
157, 39, 158, 29, HOLD
132, 39, 162, 32, HOLD
70, 39, 149, 40, HOLD
186, 37, 160, 19, HOLD
80, 38, 178, 48, HOLD
87, 37, 171, 31, HOLD
84, 36, 74, 23, HOLD
210, 35, 158, 38, HOLD
118, 36, 102, 42, HOLD
137, 36, 141, 34, HOLD
112, 36, 154, 36, HOLD
32, 35, 96, 19, HOLD
161, 33, 165, 48, HOLD
127, 33, 144, 30, HOLD
176, 33, 158, 40, HOLD
39, 34, 107, 26, HOLD
117, 32, 105, 35, HOLD
101, 31, 91, 33, HOLD
111, 31, 131, 53, HOLD
53, 30, 86, 86, HOLD
0, 28, 58, 255, HOLD
105, 25, 182, 79, HOLD
146, 24, 187, 27, HOLD
108, 24, 109, 67, HOLD
113, 23, 152, 40, HOLD
117, 23, 120, 0, HOLD
178, 22, 167, 31, HOLD
104, 23, 78, 35, HOLD
121, 22, 146, 23, HOLD
79, 22, 110, 30, HOLD
183, 21, 158, 51, HOLD
145, 22, 165, 38, HOLD
93, 22, 150, 34, HOLD
93, 21, 156, 30, HOLD
93, 19, 136, 26, HOLD
173, 18, 124, 29, HOLD
211, 19, 156, 40, HOLD
183, 21, 155, 33, HOLD
90, 22, 121, 66, HOLD
85, 21, 165, 30, HOLD
169, 20, 135, 30, HOLD
79, 62, 145, 29, HOLD
106, 61, 135, 29, HOLD
105, 60, 99, 38, HOLD
142, 60, 163, 37, HOLD
90, 60, 126, 30, HOLD
75, 59, 148, 35, HOLD
54, 57, 111, 25, HOLD
