imp_v,spotDist,u%Chg,oLast,target
35,35,9,170,HOLD
35,35,16,170,HOLD
35,36,69,169,HOLD
35,34,54,174,HOLD
35,32,57,177,HOLD
35,34,83,173,HOLD
35,36,52,168,HOLD
35,38,63,164,HOLD
35,39,101,160,HOLD
35,37,19,167,HOLD
35,37,16,166,HOLD
35,38,88,165,HOLD
35,40,151,159,HOLD
35,36,4,169,HOLD
34,36,29,169,HOLD
34,36,18,167,HOLD
34,36,58,169,HOLD
34,38,51,166,HOLD
34,36,4,169,HOLD
34,36,1,169,HOLD
34,36,24,168,HOLD
34,37,12,167,HOLD
34,37,55,166,HOLD
34,35,13,170,HOLD
34,36,42,169,HOLD
33,35,55,172,HOLD
33,36,16,168,HOLD
33,37,5,167,HOLD
33,37,17,167,HOLD
33,37,62,165,HOLD
33,35,23,170,HOLD
33,35,74,171,HOLD
33,37,75,166,HOLD
33,39,27,161,HOLD
32,40,34,160,HOLD
32,41,34,157,HOLD
32,42,24,155,HOLD
32,42,16,154,HOLD
32,43,11,153,HOLD
32,43,48,152,HOLD
33,44,18,149,HOLD
33,45,3,148,HOLD
33,45,26,148,HOLD
33,45,12,146,HOLD
33,45,10,147,HOLD
33,45,46,146,HOLD
33,46,21,144,HOLD
33,47,0,142,HOLD
33,47,31,142,HOLD
33,48,3,140,HOLD
33,48,39,140,HOLD
33,47,28,143,HOLD
33,47,93,141,HOLD
33,45,78,147,HOLD
33,47,46,142,HOLD
33,48,19,139,HOLD
33,49,97,138,HOLD
33,51,5,132,HOLD
33,51,6,132,HOLD
34,51,30,132,HOLD
34,52,63,131,HOLD
34,53,16,127,HOLD
34,54,46,126,HOLD
34,55,49,124,HOLD
34,54,49,126,HOLD
34,55,69,124,HOLD
33,53,37,128,HOLD
33,52,60,130,HOLD
34,54,28,126,HOLD
34,54,115,125,HOLD
33,57,25,118,HOLD
33,56,6,120,HOLD
33,56,17,120,HOLD
33,56,30,121,HOLD
33,55,43,123,HOLD
33,54,46,125,HOLD
33,55,45,123,HOLD
33,56,29,120,HOLD
33,57,35,119,HOLD
33,58,7,117,HOLD
33,58,50,116,HOLD
32,57,43,119,HOLD
32,56,34,121,HOLD
32,56,3,120,HOLD
32,57,9,119,HOLD
32,57,28,119,HOLD
32,57,12,117,HOLD
32,58,62,117,HOLD
32,59,102,113,HOLD
31,57,19,119,HOLD
31,56,82,120,HOLD
31,58,1,116,HOLD
31,58,56,116,HOLD
31,57,33,119,HOLD
30,58,76,117,HOLD
30,59,6,113,HOLD
30,59,3,113,HOLD
30,59,99,113,HOLD
29,61,42,108,HOLD
29,62,47,106,HOLD
28,61,69,109,HOLD
28,63,83,105,HOLD
27,61,116,109,HOLD
27,63,19,104,HOLD
26,63,13,104,HOLD
25,63,40,105,HOLD
24,62,45,107,HOLD
24,63,147,105,HOLD
23,66,124,98,HOLD
22,63,35,104,HOLD
21,62,50,107,HOLD
0,64,255,104,HOLD
0,58,122,116,HOLD
0,55,99,125,HOLD
0,53,11,129,HOLD
0,52,41,129,HOLD
0,51,34,132,HOLD
0,50,16,134,HOLD
0,51,69,133,HOLD
0,49,26,137,HOLD
0,48,16,139,HOLD
0,48,18,139,HOLD
0,49,33,138,HOLD
0,48,79,140,HOLD
0,50,37,136,HOLD
0,49,6,138,HOLD
0,49,13,138,HOLD
0,48,9,139,HOLD
0,48,49,140,HOLD
0,47,25,143,HOLD
0,47,25,141,HOLD
0,47,3,143,HOLD
0,47,6,142,HOLD
0,47,21,142,HOLD
0,47,17,143,HOLD
0,47,21,142,HOLD
0,47,47,141,HOLD
0,49,5,138,HOLD
0,49,50,138,HOLD
0,47,24,141,HOLD
0,48,46,140,HOLD
0,49,54,137,HOLD
0,50,9,134,HOLD
0,50,11,135,HOLD
0,50,43,135,HOLD
0,49,34,138,HOLD
0,48,31,140,HOLD
0,47,116,142,HOLD
0,44,57,149,HOLD
0,43,53,153,HOLD
0,41,31,156,HOLD
0,40,63,158,HOLD
0,39,1,162,HOLD
0,39,28,162,HOLD
0,38,9,164,HOLD
0,38,19,165,HOLD
0,38,60,164,HOLD
0,40,16,160,HOLD
0,40,10,159,HOLD
0,40,19,159,HOLD
0,40,8,158,HOLD
0,41,2,157,HOLD
0,41,50,157,HOLD
0,39,34,161,HOLD
0,40,42,158,HOLD
0,39,8,161,HOLD
0,39,25,161,HOLD
0,39,30,162,HOLD
0,39,25,160,HOLD
0,40,2,159,HOLD
0,40,25,159,HOLD
0,39,16,160,HOLD
0,40,5,159,HOLD
0,40,7,160,HOLD
0,40,30,159,HOLD
0,41,24,157,HOLD
0,40,10,159,HOLD
0,40,29,158,HOLD
0,41,11,156,HOLD
0,41,40,155,HOLD
0,43,85,153,HOLD
0,45,10,147,HOLD
0,45,48,147,HOLD
0,46,40,144,HOLD
0,45,13,146,HOLD
0,45,41,147,HOLD
0,44,3,150,HOLD
0,44,50,150,HOLD
0,45,3,147,HOLD
0,45,27,147,HOLD
0,46,33,145,HOLD
0,45,10,147,HOLD
0,45,50,148,HOLD
0,46,23,145,HOLD
0,45,19,146,HOLD
0,46,21,145,HOLD
0,45,8,146,HOLD
0,45,21,147,HOLD
0,45,21,148,HOLD
0,44,55,149,HOLD
0,43,83,153,HOLD
0,45,45,148,HOLD
0,44,38,150,HOLD
0,45,31,148,HOLD
0,45,14,146,HOLD
0,46,61,145,HOLD
0,44,8,149,HOLD
0,44,9,150,HOLD
0,44,10,149,HOLD
0,44,9,148,HOLD
0,45,3,148,HOLD
0,44,43,148,HOLD
0,46,10,146,HOLD
0,45,15,146,HOLD
0,46,49,145,HOLD
0,47,8,142,HOLD
0,47,31,142,HOLD
0,46,26,144,HOLD
0,46,8,145,HOLD
0,46,24,145,HOLD
0,47,58,143,HOLD
0,48,5,140,HOLD
0,48,10,140,HOLD
0,48,21,141,HOLD
0,48,12,139,HOLD
0,48,24,139,HOLD
0,48,8,140,HOLD
0,48,25,140,HOLD
0,47,26,141,HOLD
0,47,28,143,HOLD
0,47,44,141,HOLD
0,46,8,144,HOLD
0,47,9,143,HOLD
0,46,6,144,HOLD
0,46,6,143,HOLD
0,46,6,144,HOLD
0,46,22,144,HOLD
0,46,23,146,HOLD
0,45,71,147,HOLD
0,43,80,151,HOLD
0,45,34,146,HOLD
0,46,13,144,HOLD
0,46,1,145,HOLD
0,46,13,145,HOLD
15,45,12,146,HOLD
15,45,69,147,HOLD
15,47,94,142,HOLD
15,49,34,137,HOLD
0,48,34,139,HOLD
0,47,16,141,HOLD
0,48,15,140,HOLD
0,48,2,139,HOLD
0,48,17,139,HOLD
0,49,43,138,HOLD
0,48,32,140,HOLD
0,47,10,142,HOLD
0,47,33,142,HOLD
0,46,9,144,HOLD
0,46,2,143,HOLD
0,46,6,143,HOLD
0,47,53,143,HOLD
0,45,61,146,HOLD
0,47,5,143,HOLD
0,47,25,143,HOLD
0,46,46,144,HOLD
0,47,19,142,HOLD
0,48,16,140,HOLD
0,48,37,139,HOLD
0,47,127,142,HOLD
0,44,1,150,HOLD
0,44,13,150,HOLD
0,43,49,151,HOLD
0,42,39,154,HOLD
0,43,26,151,HOLD
0,43,7,153,HOLD
0,42,20,153,HOLD
0,43,35,152,HOLD
0,42,31,154,HOLD
0,41,60,156,HOLD
0,43,9,153,HOLD
0,42,20,153,HOLD
0,43,15,152,HOLD
0,43,18,153,HOLD
0,43,8,152,HOLD
0,43,5,151,HOLD
0,43,90,151,HOLD
0,45,48,146,HOLD
0,44,0,149,HOLD
0,44,22,149,HOLD
0,44,15,150,HOLD
0,44,27,149,HOLD
0,43,34,151,HOLD
0,42,1,153,HOLD
14,42,1,153,HOLD
14,42,20,153,HOLD
15,42,44,155,HOLD
15,43,5,152,HOLD
15,43,1,151,HOLD
15,43,43,151,HOLD
15,44,22,149,HOLD
15,44,71,150,HOLD
16,46,9,146,HOLD
15,46,42,145,HOLD
15,45,0,148,HOLD
15,45,23,148,HOLD
15,44,19,149,HOLD
15,45,46,148,HOLD
15,46,35,145,HOLD
15,45,35,147,HOLD
15,46,62,145,HOLD
14,44,26,149,HOLD
14,45,19,147,HOLD
14,45,37,146,HOLD
0,44,18,148,HOLD
0,44,34,150,HOLD
0,43,9,152,HOLD
0,43,22,152,HOLD
0,43,3,151,HOLD
0,43,43,151,HOLD
0,42,5,154,HOLD
0,42,19,154,HOLD
0,41,11,155,HOLD
0,41,13,156,HOLD
0,41,11,155,HOLD
0,42,9,155,HOLD
0,42,71,154,HOLD
0,40,4,159,HOLD
0,40,10,158,HOLD
0,40,20,159,HOLD
0,39,55,160,HOLD
0,38,24,164,HOLD
0,38,46,163,HOLD
0,40,38,159,HOLD
0,39,124,162,HOLD
0,35,9,171,HOLD
0,35,9,170,HOLD
0,19,41,209,HOLD
0,21,77,206,HOLD
0,23,13,199,HOLD
0,23,43,200,HOLD
0,24,23,197,HOLD
0,23,10,199,HOLD
64,23,23,200,HOLD
64,22,22,202,HOLD
64,23,64,200,HOLD
63,21,10,205,HOLD
63,20,4,206,HOLD
62,21,22,206,HOLD
62,20,6,208,HOLD
62,20,8,207,HOLD
61,20,32,206,HOLD
61,21,64,204,HOLD
60,19,49,209,HOLD
60,21,12,205,HOLD
60,21,43,204,HOLD
59,23,111,200,HOLD
59,19,23,210,HOLD
58,18,47,212,HOLD
58,20,11,208,HOLD
57,20,89,207,HOLD
57,23,38,199,HOLD
56,24,32,196,HOLD
56,23,7,199,HOLD
55,23,16,200,HOLD
55,23,9,201,HOLD
55,23,7,200,HOLD
54,23,38,200,HOLD
54,24,60,196,HOLD
53,22,56,201,HOLD
53,20,32,206,HOLD
52,21,44,204,HOLD
52,23,15,200,HOLD
51,23,19,199,HOLD
51,24,1,197,HOLD
50,24,50,197,HOLD
50,22,66,201,HOLD
49,25,15,196,HOLD
49,25,19,195,HOLD
48,24,9,196,HOLD
48,24,36,197,HOLD
47,25,1,194,HOLD
47,25,4,194,HOLD
46,26,51,193,HOLD
46,27,22,189,HOLD
45,28,97,188,HOLD
45,31,12,180,HOLD
44,32,48,179,HOLD
44,33,36,176,HOLD
44,32,105,178,HOLD
44,35,9,171,HOLD
43,35,3,170,HOLD
43,36,23,170,HOLD
43,35,52,171,HOLD
43,36,39,167,HOLD
43,38,13,165,HOLD
42,38,25,164,HOLD
42,37,1,166,HOLD
42,37,3,165,HOLD
42,37,53,165,HOLD
42,39,9,161,HOLD
42,39,19,161,HOLD
41,40,12,159,HOLD
41,40,37,159,HOLD
41,41,10,156,HOLD
41,41,9,157,HOLD
41,41,35,157,HOLD
41,40,9,160,HOLD
41,40,47,159,HOLD
41,38,28,163,HOLD
41,38,48,165,HOLD
40,36,57,168,HOLD
40,38,72,164,HOLD
40,40,19,159,HOLD
40,41,25,158,HOLD
40,40,39,159,HOLD
40,41,9,157,HOLD
39,41,21,156,HOLD
39,41,16,157,HOLD
39,40,46,158,HOLD
39,42,6,155,HOLD
39,42,85,155,HOLD
39,44,1,149,HOLD
39,44,17,149,HOLD
39,44,143,150,HOLD
39,48,203,141,HOLD
39,42,54,155,HOLD
39,43,0,151,HOLD
39,43,25,151,HOLD
39,44,3,149,HOLD
38,44,32,149,HOLD
38,43,76,151,HOLD
38,41,36,157,HOLD
38,42,106,154,HOLD
38,39,45,162,HOLD
38,40,12,159,HOLD
38,40,3,158,HOLD
38,40,6,158,HOLD
37,40,35,159,HOLD
37,41,50,156,HOLD
37,43,65,153,HOLD
37,41,32,157,HOLD
37,42,43,155,HOLD
37,40,106,158,HOLD
36,43,55,151,HOLD
36,42,9,155,HOLD
36,42,40,155,HOLD
36,40,54,158,HOLD
36,42,35,154,HOLD
36,43,10,152,HOLD
36,43,33,151,HOLD
35,44,9,149,HOLD
35,44,16,148,HOLD
35,45,69,147,HOLD
35,43,54,152,HOLD
35,41,57,156,HOLD
35,43,83,152,HOLD
35,45,52,146,HOLD
35,47,63,143,HOLD
35,49,101,138,HOLD
35,46,19,145,HOLD
35,46,16,144,HOLD
35,47,88,143,HOLD
35,49,151,137,HOLD
35,45,4,147,HOLD
34,45,29,148,HOLD
34,45,18,146,HOLD
34,45,58,148,HOLD
34,47,51,145,HOLD
34,45,4,148,HOLD
34,45,1,147,HOLD
34,45,24,147,HOLD
